date,category_label,category_value,downloads
2019-07-10,combined,py2.6-marshmallow2,3
2019-07-10,combined,py2.7-marshmallow2,11490
2019-07-10,combined,py2.7-marshmallow3,7536
2019-07-10,combined,py3.4-marshmallow2,440
2019-07-10,combined,py3.4-marshmallow3,15
2019-07-10,combined,py3.5-marshmallow2,2268
2019-07-10,combined,py3.5-marshmallow3,3615
2019-07-10,combined,py3.6-marshmallow2,14073
2019-07-10,combined,py3.6-marshmallow3,6285
2019-07-10,combined,py3.7-marshmallow2,9397
2019-07-10,combined,py3.7-marshmallow3,4704
2019-07-10,combined,py3.8-marshmallow2,2
2019-07-10,combined,py2.7-marshmallow2-no_linux,101
2019-07-10,combined,py2.7-marshmallow3-no_linux,6
2019-07-10,combined,py3.4-marshmallow2-no_linux,1
2019-07-10,combined,py3.5-marshmallow2-no_linux,81
2019-07-10,combined,py3.5-marshmallow3-no_linux,13
2019-07-10,combined,py3.6-marshmallow2-no_linux,269
2019-07-10,combined,py3.6-marshmallow3-no_linux,51
2019-07-10,combined,py3.7-marshmallow2-no_linux,511
2019-07-10,combined,py3.7-marshmallow3-no_linux,197
2019-07-10,python_major,2,19049
2019-07-10,python_major,3,40830
2019-07-10,python_major,2-no_linux,107
2019-07-10,python_major,3-no_linux,1123
2019-07-10,python_minor,2.6,3
2019-07-10,python_minor,2.7,19046
2019-07-10,python_minor,3.4,455
2019-07-10,python_minor,3.5,5892
2019-07-10,python_minor,3.6,20379
2019-07-10,python_minor,3.7,14102
2019-07-10,python_minor,3.8,2
2019-07-10,python_minor,2.7-no_linux,107
2019-07-10,python_minor,3.4-no_linux,1
2019-07-10,python_minor,3.5-no_linux,94
2019-07-10,python_minor,3.6-no_linux,320
2019-07-10,python_minor,3.7-no_linux,708
2019-07-10,marshmallow_major,2,37673
2019-07-10,marshmallow_major,3,22155
2019-07-10,marshmallow_major,2-no_linux,963
2019-07-10,marshmallow_major,3-no_linux,267
2019-07-10,marshmallow_version,2.1.0,1
2019-07-10,marshmallow_version,2.1.1,1
2019-07-10,marshmallow_version,2.1.2,3
2019-07-10,marshmallow_version,2.1.3,1
2019-07-10,marshmallow_version,2.2.0,24
2019-07-10,marshmallow_version,2.2.1,11
2019-07-10,marshmallow_version,2.3.0,20
2019-07-10,marshmallow_version,2.4.0,1
2019-07-10,marshmallow_version,2.4.2,11
2019-07-10,marshmallow_version,2.6.0,74
2019-07-10,marshmallow_version,2.6.1,135
2019-07-10,marshmallow_version,2.7.0,2
2019-07-10,marshmallow_version,2.7.1,55
2019-07-10,marshmallow_version,2.7.2,48
2019-07-10,marshmallow_version,2.7.3,221
2019-07-10,marshmallow_version,2.8.0,6
2019-07-10,marshmallow_version,2.9.0,28
2019-07-10,marshmallow_version,2.9.1,180
2019-07-10,marshmallow_version,2.10.0,1
2019-07-10,marshmallow_version,2.10.3,285
2019-07-10,marshmallow_version,2.10.4,22
2019-07-10,marshmallow_version,2.10.5,15
2019-07-10,marshmallow_version,2.11.1,565
2019-07-10,marshmallow_version,2.12.0,4
2019-07-10,marshmallow_version,2.12.1,5
2019-07-10,marshmallow_version,2.12.2,135
2019-07-10,marshmallow_version,2.13.0,56
2019-07-10,marshmallow_version,2.13.1,33
2019-07-10,marshmallow_version,2.13.4,26
2019-07-10,marshmallow_version,2.13.5,472
2019-07-10,marshmallow_version,2.13.6,649
2019-07-10,marshmallow_version,2.14.0,371
2019-07-10,marshmallow_version,2.15.0,1309
2019-07-10,marshmallow_version,2.15.1,447
2019-07-10,marshmallow_version,2.15.2,176
2019-07-10,marshmallow_version,2.15.3,1253
2019-07-10,marshmallow_version,2.15.4,612
2019-07-10,marshmallow_version,2.15.5,54
2019-07-10,marshmallow_version,2.15.6,442
2019-07-10,marshmallow_version,2.16.0,447
2019-07-10,marshmallow_version,2.16.1,286
2019-07-10,marshmallow_version,2.16.2,24
2019-07-10,marshmallow_version,2.16.3,2907
2019-07-10,marshmallow_version,2.17.0,236
2019-07-10,marshmallow_version,2.18.0,699
2019-07-10,marshmallow_version,2.18.1,535
2019-07-10,marshmallow_version,2.19.0,648
2019-07-10,marshmallow_version,2.19.1,354
2019-07-10,marshmallow_version,2.19.2,5988
2019-07-10,marshmallow_version,2.19.3,22
2019-07-10,marshmallow_version,2.19.4,61
2019-07-10,marshmallow_version,2.19.5,17689
2019-07-10,marshmallow_version,2.0.0b2,22
2019-07-10,marshmallow_version,2.0.0b4,1
2019-07-10,marshmallow_version,3.0.0a1,1
2019-07-10,marshmallow_version,3.0.0b1,14
2019-07-10,marshmallow_version,3.0.0b2,34
2019-07-10,marshmallow_version,3.0.0b3,74
2019-07-10,marshmallow_version,3.0.0b4,77
2019-07-10,marshmallow_version,3.0.0b5,73
2019-07-10,marshmallow_version,3.0.0b6,40
2019-07-10,marshmallow_version,3.0.0b7,309
2019-07-10,marshmallow_version,3.0.0b8,114
2019-07-10,marshmallow_version,3.0.0b9,40
2019-07-10,marshmallow_version,3.0.0b10,19
2019-07-10,marshmallow_version,3.0.0b11,124
2019-07-10,marshmallow_version,3.0.0b12,304
2019-07-10,marshmallow_version,3.0.0b13,374
2019-07-10,marshmallow_version,3.0.0b14,2
2019-07-10,marshmallow_version,3.0.0b15,1
2019-07-10,marshmallow_version,3.0.0b16,152
2019-07-10,marshmallow_version,3.0.0b18,168
2019-07-10,marshmallow_version,3.0.0b19,377
2019-07-10,marshmallow_version,3.0.0b20,95
2019-07-10,marshmallow_version,3.0.0rc1,184
2019-07-10,marshmallow_version,3.0.0rc2,50
2019-07-10,marshmallow_version,3.0.0rc3,1201
2019-07-10,marshmallow_version,3.0.0rc4,7016
2019-07-10,marshmallow_version,3.0.0rc5,4145
2019-07-10,marshmallow_version,3.0.0rc6,2744
2019-07-10,marshmallow_version,3.0.0rc7,402
2019-07-10,marshmallow_version,3.0.0rc8,4021
2019-07-10,marshmallow_version,2.3.0-no_linux,1
2019-07-10,marshmallow_version,2.6.0-no_linux,2
2019-07-10,marshmallow_version,2.7.2-no_linux,1
2019-07-10,marshmallow_version,2.7.3-no_linux,17
2019-07-10,marshmallow_version,2.9.1-no_linux,2
2019-07-10,marshmallow_version,2.10.3-no_linux,3
2019-07-10,marshmallow_version,2.10.5-no_linux,1
2019-07-10,marshmallow_version,2.13.1-no_linux,1
